Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Focus Position,Rank,Status
A. Lewis,St. Patrick's Ath.,St. Patrick's Ath.,"LCMF, LDMF, DMF",21,50000,2021-12-31,23,1627,1,0.52,1,1.03,18.14,46.65,England,England,right,169,64,no,7.08,6.53,57.63,1.49,44.44,0.22,0.35,0.17,3.1,4.94,1.27,1,0.06,1,0.06,1.22,0.06,1,0.06,0.03,0,0.0,7,0.39,28.57,14.286,0.06,0.55,20.0,0.11,0.0,0.44,25.0,0.22,1.99,41.67,6.14,37.84,0.5,0.83,0.55,31.64,0.22,1.11,48.18,86.68,14.0,75.1,6.36,96.52,19.97,91.69,42.81,90.44,4.81,60.92,19.39,34.06,0.06,0.66,0.06,0.0,0.39,42.86,0.22,8.63,76.92,1.22,31.82,0.72,38.46,0.44,0.11,7.03,79.53,0,,0,,0,0,0,0,,,0.22,,,1.05,0.06,0.0,0.39,0,0.0,Irish Premier Division,Central Midfielders,0,0
C. Levingston,Bohemians,Bohemians,"LCMF, LDMF",23,50000,2021-12-31,11,735,0,2.23,0,1.09,19.71,50.31,Republic of Ireland,Republic of Ireland,,0,0,no,8.94,8.33,64.71,3.06,36.0,0.0,0.0,0.37,3.55,5.72,1.1,0,0.0,0,0.0,1.96,0.0,0,0.0,0.27,0,0.0,9,1.1,33.33,0.0,0.0,0.49,75.0,0.37,66.67,0.12,100.0,0.0,1.59,61.54,5.02,39.02,0.73,0.24,0.0,32.33,0.0,0.61,49.96,87.99,15.43,73.02,6.49,98.11,23.02,94.68,43.96,91.64,5.51,60.0,22.13,33.13,0.13,0.86,0.12,0.0,0.24,100.0,0.12,7.22,66.1,1.35,72.73,0.61,20.0,0.49,0.37,7.96,76.92,0,,0,,0,0,0,0,,,0.61,,,0.37,0.12,0.0,0.37,0,0.0,Irish Premier Division,Central Midfielders,0,0
L. Heeney,Drogheda United,Drogheda United,"RCMF, DMF",22,50000,2021-12-31,21,1139,0,0.05,1,1.25,20.86,46.59,Republic of Ireland,Republic of Ireland,,0,0,no,10.59,9.01,58.77,3.48,20.45,0.87,1.13,0.0,4.42,5.73,1.34,3,0.24,1,0.08,0.95,0.0,0,0.0,0.0,0,0.0,5,0.4,0.0,0.0,0.08,1.03,23.08,0.08,0.0,0.95,25.0,0.08,1.58,45.0,4.82,45.9,0.16,0.4,0.24,18.33,0.95,1.5,33.98,76.28,12.33,59.62,6.56,96.39,9.01,83.33,29.63,80.8,3.32,52.38,18.9,25.49,0.1,0.95,0.0,0.0,0.16,0.0,0.08,4.74,60.0,1.42,27.78,0.71,22.22,0.16,0.32,6.72,56.47,0,,0,,0,0,0,0,,,0.08,,,1.5,0.0,0.0,1.74,0,0.0,Irish Premier Division,Central Midfielders,0,0
G. Deegan,Drogheda United,Drogheda United,"DMF, RDMF, RCMF",33,50000,2021-12-31,25,2330,0,0.23,1,0.28,19.51,56.63,Republic of Ireland,Republic of Ireland,right,176,75,no,13.48,9.15,61.18,4.13,65.42,0.23,0.29,0.39,7.65,9.58,1.78,8,0.31,0,0.0,0.97,0.0,0,0.0,0.01,0,0.0,5,0.19,40.0,0.0,0.04,0.19,40.0,0.04,0.0,0.15,50.0,0.08,0.97,64.0,3.59,43.01,0.15,0.12,0.08,23.02,0.12,1.12,42.64,87.23,12.79,72.51,6.06,96.18,17.0,93.41,38.94,89.78,3.52,61.54,17.56,34.87,0.01,0.31,0.04,0.0,0.23,83.33,0.08,4.83,68.0,0.85,50.0,0.58,40.0,0.31,0.12,5.37,69.06,0,,0,,0,0,0,0,,,0.27,,,0.12,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
R. Finn,Shamrock Rovers,Shamrock Rovers,"RWB, RCMF, LCMF",33,50000,2021-12-31,17,1223,1,0.55,1,1.03,23.99,52.76,Republic of Ireland,Republic of Ireland,right,185,71,no,10.38,9.35,62.2,3.97,53.7,0.59,0.98,0.29,3.97,6.61,2.28,3,0.22,0,0.0,2.65,0.07,1,0.07,0.04,0,0.0,4,0.29,25.0,25.0,0.07,3.09,16.67,0.22,0.0,2.87,17.95,0.74,3.16,60.47,6.55,43.82,2.35,1.03,0.74,31.5,2.13,1.03,43.34,80.14,11.77,69.38,10.3,95.0,11.41,71.61,37.75,88.3,2.58,37.14,16.23,30.76,0.08,0.88,0.07,0.0,0.52,28.57,0.52,3.68,66.0,3.75,33.33,0.96,30.77,1.32,0.52,5.52,69.33,0,,0,,0,0,0,0,,,0.52,,,0.0,0.0,0.0,0.37,0,0.0,Irish Premier Division,Central Midfielders,0,0
J. Hyland,Drogheda United,Drogheda United,"LDMF, LCMF",26,50000,2021-12-31,17,1121,1,0.76,1,2.43,17.74,52.94,Republic of Ireland,Republic of Ireland,,0,0,no,10.84,8.83,64.55,3.45,46.51,0.48,0.59,0.4,4.66,5.7,1.53,4,0.32,0,0.0,0.72,0.08,1,0.08,0.06,0,0.0,7,0.56,57.14,14.286,0.08,0.56,28.57,0.32,25.0,0.24,33.33,0.08,0.48,33.33,2.73,35.29,0.4,0.32,0.08,16.7,0.08,0.72,30.67,71.2,12.69,58.23,4.98,98.39,8.51,81.13,24.89,77.74,5.22,44.62,19.23,32.53,0.2,0.96,0.0,0.0,0.4,20.0,0.16,5.14,45.31,0.88,18.18,0.4,40.0,0.16,0.16,5.46,66.18,0,,0,,0,0,0,0,,,0.16,,,0.72,0.08,0.0,1.36,0,0.0,Irish Premier Division,Central Midfielders,0,0
D. Watts,Shamrock Rovers,Shamrock Rovers,"LCMF, RCMF, AMF",24,50000,2021-12-31,18,1138,2,1.36,7,4.54,18.9,46.86,Republic of Ireland,Republic of Ireland,right,178,68,no,7.59,7.28,56.52,1.66,23.81,0.4,0.67,0.08,3.08,5.25,1.74,2,0.16,0,0.0,3.72,0.16,2,0.16,0.11,0,0.0,24,1.9,37.5,8.333,0.55,2.53,34.38,0.63,25.0,1.9,37.5,0.55,2.61,66.67,6.49,42.68,2.06,1.82,1.03,41.44,0.63,0.95,58.6,80.7,20.25,69.14,9.09,94.78,16.69,86.26,48.95,87.4,7.28,51.09,18.29,33.57,0.36,2.45,0.08,0.0,0.63,62.5,0.71,11.78,71.81,3.56,60.0,2.06,38.46,1.11,0.95,10.52,81.95,0,,0,,0,0,0,0,,,0.63,,,1.42,0.16,0.0,4.51,0,0.0,Irish Premier Division,Central Midfielders,0,0
M. Coyle,Finn Harps,Finn Harps,"RCMF, RDMF, DMF",24,25000,2021-12-31,25,2192,0,0.25,0,0.47,21.88,56.29,Republic of Ireland,Republic of Ireland,,0,0,no,11.7,9.61,65.81,3.41,50.6,0.25,0.31,0.16,5.13,6.49,1.64,6,0.25,1,0.04,0.94,0.0,0,0.0,0.01,0,0.0,10,0.41,10.0,0.0,0.0,0.86,33.33,0.04,0.0,0.82,35.0,0.21,1.11,40.74,4.19,45.1,0.21,0.37,0.16,14.78,0.49,1.19,31.82,77.03,13.06,61.32,5.67,96.38,9.61,84.19,25.91,87.0,5.13,33.6,20.09,36.58,0.02,0.25,0.0,0.0,0.33,50.0,0.16,6.49,54.43,1.52,48.65,0.74,33.33,0.49,0.21,5.91,68.06,0,,0,,0,0,0,0,,,0.78,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
S. Blaney,Sligo Rovers,Sligo Rovers,"LCB, LDMF",22,25000,2021-12-31,11,665,1,0.59,0,0.01,17.19,58.27,Republic of Ireland,Republic of Ireland,right,190,79,no,8.12,5.68,61.9,5.14,57.89,0.54,0.74,0.0,4.06,5.56,1.22,2,0.27,0,0.0,0.54,0.14,1,0.14,0.08,1,0.14,3,0.41,33.33,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,60.0,2.3,41.18,0.68,0.27,0.14,25.17,0.27,0.54,38.57,83.86,14.48,70.09,1.49,90.91,19.62,95.17,30.72,89.43,7.85,62.07,24.0,33.63,0.0,0.27,0.0,0.0,0.0,0.0,0.0,6.09,60.0,0.68,60.0,0.27,50.0,0.14,0.0,7.44,72.73,0,,0,,0,0,0,0,,,0.95,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
C. Harkin,Derry City,Derry City,"DMF, LCMF, LDMF",25,25000,2021-12-31,23,2082,0,0.12,0,0.32,18.07,56.46,Northern Ireland,Northern Ireland,,0,0,no,13.01,9.38,61.75,2.03,38.3,1.3,1.88,0.48,5.92,8.58,1.69,6,0.26,0,0.0,0.95,0.0,0,0.0,0.01,0,0.0,6,0.26,33.33,0.0,0.0,0.69,31.25,0.13,0.0,0.52,41.67,0.04,1.21,53.57,3.33,57.14,0.09,0.48,0.26,30.0,0.26,1.47,49.06,83.61,14.22,64.44,7.87,95.6,19.76,91.47,42.15,89.74,6.31,48.63,19.96,38.63,0.01,0.22,0.04,0.0,0.04,0.0,0.04,6.53,64.24,1.38,31.25,0.65,26.67,0.26,0.26,7.26,62.5,0,,0,,0,0,0,0,,,0.78,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
J. Malone,Derry City,Derry City,"RCMF, RWB, RDMF",21,25000,2021-12-31,24,1486,0,1.05,0,1.12,22.71,48.27,Republic of Ireland,Republic of Ireland,,0,0,no,8.48,8.3,64.96,3.09,35.29,0.42,0.59,0.0,2.66,3.71,1.88,5,0.3,0,0.0,1.88,0.0,0,0.0,0.06,0,0.0,13,0.79,30.77,0.0,0.0,1.51,32.0,0.06,0.0,1.45,33.33,0.24,1.88,54.84,7.03,37.07,1.21,0.79,0.42,22.35,1.27,1.82,33.86,79.61,9.08,58.0,7.39,96.72,12.17,85.07,28.53,86.2,3.94,49.23,19.35,31.27,0.07,0.79,0.0,0.0,0.12,100.0,0.48,4.12,58.82,1.82,53.33,0.36,50.0,0.61,0.42,4.78,56.96,0,,0,,0,0,0,0,,,0.24,,,0.48,0.0,0.0,0.36,0,0.0,Irish Premier Division,Central Midfielders,0,0
D. Zambra,Longford Town,Longford Town,"DMF, LDMF, RDMF",33,25000,2021-12-31,18,1456,0,0.43,1,0.27,11.0,59.55,Republic of Ireland,Republic of Ireland,,181,0,no,9.77,6.37,67.96,1.67,55.56,0.56,0.63,0.19,4.88,5.54,0.56,0,0.0,0,0.0,0.49,0.0,0,0.0,0.03,0,0.0,2,0.12,0.0,0.0,0.06,0.37,50.0,0.25,25.0,0.12,100.0,0.0,0.31,60.0,0.93,46.67,0.12,0.25,0.06,12.86,0.19,0.12,27.26,75.06,11.13,56.67,3.89,96.83,7.79,83.33,23.24,81.65,3.71,36.67,19.22,38.16,0.02,0.19,0.0,0.0,0.25,50.0,0.06,5.44,48.86,0.93,26.67,0.87,28.57,0.19,0.12,5.01,59.26,0,,0,,0,0,0,0,,,0.31,,,0.43,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
A. Dervin,Longford Town,Longford Town,"RDMF, RCMF",22,25000,2021-12-31,26,2385,0,0.57,0,0.51,21.89,50.0,Republic of Ireland,Republic of Ireland,,0,0,no,14.23,9.47,60.96,2.79,45.95,1.36,1.66,0.26,7.09,8.68,0.98,8,0.3,0,0.0,1.62,0.0,0,0.0,0.02,0,0.0,23,0.87,30.43,0.0,0.0,0.64,23.53,0.11,0.0,0.53,28.57,0.08,2.26,50.0,5.43,40.28,0.08,0.79,1.09,18.6,0.3,1.21,37.7,77.88,12.83,59.41,6.23,94.55,12.79,84.96,30.83,85.68,6.3,44.31,19.84,35.02,0.02,0.23,0.04,0.0,0.26,28.57,0.08,7.17,55.79,1.51,40.0,0.64,35.29,0.42,0.23,6.3,61.68,0,,0,,0,0,0,0,,,0.45,,,0.6,0.34,33.33,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
B. McCormack,St. Patrick's Ath.,St. Patrick's Ath.,"AMF, RCMF, LCMF",18,25000,2021-12-31,20,576,0,0.55,2,0.77,21.56,43.48,Republic of Ireland,Republic of Ireland,,0,0,no,5.31,5.78,54.05,4.69,33.33,0.31,0.53,0.0,1.88,3.19,1.25,3,0.47,0,0.0,2.03,0.0,0,0.0,0.09,0,0.0,9,1.41,11.11,0.0,0.31,2.19,35.71,0.78,40.0,1.41,33.33,0.63,1.56,60.0,7.5,45.83,1.88,0.78,1.25,24.06,1.72,1.88,34.53,77.38,10.78,59.42,7.81,94.0,10.31,78.79,30.63,83.16,1.88,25.0,17.48,21.65,0.12,1.56,0.16,0.0,1.09,14.29,0.63,5.31,64.71,3.75,37.5,1.09,14.29,1.09,0.78,6.56,76.19,0,,0,,0,0,0,0,,,0.16,,,0.78,0.0,0.0,1.56,0,0.0,Irish Premier Division,Central Midfielders,0,0
T. Sobowale,Athlone Town,Waterford FC,"LCMF, RCB, LCB",22,10000,2021-12-31,12,858,0,0.0,0,0.79,20.77,49.49,Republic of Ireland,Republic of Ireland,,0,0,yes,11.12,6.5,66.13,3.04,55.17,1.15,1.4,0.21,5.66,6.89,1.26,5,0.52,0,0.0,1.57,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.52,0.0,0.0,3.36,46.88,7.87,32.0,0.52,0.73,0.94,13.22,0.31,0.63,27.38,70.88,10.49,61.0,3.99,89.47,9.13,78.16,22.34,77.93,4.51,44.19,19.13,33.96,0.08,0.31,0.0,0.0,0.0,0.0,0.1,4.62,52.27,0.73,0.0,0.21,50.0,0.1,0.1,5.87,50.0,0,,0,,0,0,0,0,,,1.36,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
S. Griffin,Waterford FC,Waterford FC,"LCMF, RDMF, RCMF",21,10000,2021-12-31,20,1762,3,2.44,2,1.81,18.8,44.02,Republic of Ireland,Republic of Ireland,,0,0,no,8.17,7.36,56.25,2.55,22.0,0.72,0.89,0.1,3.32,4.11,0.77,2,0.1,0,0.0,1.33,0.15,3,0.15,0.12,0,0.0,22,1.12,36.36,13.636,0.1,0.51,50.0,0.15,0.0,0.36,71.43,0.1,1.17,43.48,4.95,38.14,0.66,0.77,0.46,12.31,0.46,1.02,24.82,74.9,8.33,54.6,4.8,97.87,7.0,79.56,21.91,78.55,2.45,45.83,18.0,32.44,0.09,0.92,0.15,0.0,0.56,27.27,0.15,4.39,50.0,1.28,48.0,0.72,21.43,0.61,0.26,4.04,58.23,0,,0,,0,0,0,0,,,0.26,,,2.04,0.36,42.86,1.17,0,0.0,Irish Premier Division,Central Midfielders,0,0
D. Nugent,Longford Town,Longford Town,"LCMF, RCMF, RDMF",20,10000,2021-12-31,10,662,0,0.46,0,0.31,25.29,47.85,Republic of Ireland,Republic of Ireland,,0,0,yes,12.24,11.83,56.32,2.58,31.58,0.54,0.68,0.41,5.03,6.27,2.18,0,0.0,0,0.0,2.04,0.0,0,0.0,0.06,0,0.0,10,1.36,30.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,3.13,47.83,5.44,42.5,0.27,1.63,0.27,20.53,0.27,1.63,31.4,80.52,12.37,72.53,4.76,94.29,8.16,88.33,29.09,82.24,2.18,62.5,15.58,13.92,0.04,0.41,0.0,0.0,0.54,25.0,0.14,5.3,66.67,0.95,42.86,0.68,20.0,0.27,0.14,4.76,62.86,0,,0,,0,0,0,0,,,0.27,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
K. Phillips,Drogheda United,Drogheda United,"RCB, LCMF, RCMF",19,10000,2021-12-31,21,1812,1,2.26,0,0.05,20.91,48.69,Republic of Ireland,Republic of Ireland,,0,0,no,8.59,5.56,66.07,8.89,45.25,0.5,0.64,0.25,4.42,5.67,0.65,1,0.05,0,0.0,0.75,0.05,1,0.05,0.11,1,0.05,17,0.84,17.65,5.882,0.0,0.35,0.0,0.2,0.0,0.15,0.0,0.1,0.94,52.63,3.92,39.24,1.04,0.6,0.3,21.85,0.99,1.14,35.31,73.84,16.09,58.95,4.32,96.55,10.98,85.52,28.66,83.02,6.31,36.22,21.3,38.19,0.0,0.1,0.0,0.05,0.3,33.33,0.0,7.35,48.65,1.29,23.08,0.94,15.79,0.3,0.0,7.75,59.62,0,,0,,0,0,0,0,,,1.19,,,0.0,0.0,0.0,0.05,0,0.0,Irish Premier Division,Central Midfielders,0,0
A. Robinson,Longford Town,Longford Town,"LDMF, LCMF",24,10000,2021-12-31,19,1291,0,0.52,0,0.11,26.28,45.36,Republic of Ireland,Republic of Ireland,,0,0,no,11.29,9.9,56.34,7.11,45.1,0.56,0.66,0.07,5.16,6.07,1.88,4,0.28,1,0.07,0.7,0.0,0,0.0,0.04,0,0.0,16,1.12,18.75,0.0,0.0,0.63,0.0,0.56,0.0,0.07,0.0,0.0,1.05,46.67,4.11,42.37,0.56,0.21,0.21,14.71,0.7,1.05,27.54,67.09,12.48,54.75,3.21,89.13,8.23,74.58,21.54,76.05,5.37,38.96,21.44,30.89,0.01,0.21,0.0,0.0,0.07,0.0,0.0,6.27,52.22,1.12,25.0,0.7,10.0,0.35,0.0,6.41,59.78,0,,0,,0,0,0,0,,,0.28,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Central Midfielders,0,0
N. O'Keeffe,Waterford FC,Waterford FC,"LDMF, LCMF, DMF",21,0,,20,1864,0,0.22,0,0.17,17.43,47.09,Republic of Ireland,Republic of Ireland,,0,0,no,9.56,7.44,53.9,1.93,40.0,1.06,1.31,0.19,4.49,5.54,1.45,8,0.39,0,0.0,1.45,0.0,0,0.0,0.01,0,0.0,5,0.24,20.0,0.0,0.0,0.34,0.0,0.05,0.0,0.29,0.0,0.05,1.79,72.97,4.44,42.39,0.05,0.68,0.19,17.53,0.39,0.68,30.23,80.51,8.93,67.03,6.08,92.86,10.38,84.65,26.36,85.53,3.57,50.0,19.72,33.87,0.01,0.19,0.0,0.0,0.19,50.0,0.05,5.55,66.96,0.92,31.58,0.58,41.67,0.29,0.0,4.78,66.67,0,,0,,0,0,0,0,,,0.87,,,0.39,0.1,50.0,0.05,0,0.0,Irish Premier Division,Central Midfielders,0,0
M. Russell,Greenock Morton,Finn Harps,"LWB, CF, AMF",25,275000,2022-06-10,15,856,0,0.36,1,0.68,23.97,40.79,Scotland,Scotland,left,178,74,no,7.36,5.89,64.29,4.31,34.15,0.32,0.4,0.32,3.26,4.1,0.74,0,0.0,0,0.0,3.47,0.0,0,0.0,0.04,0,0.0,7,0.74,57.14,0.0,0.11,1.89,44.44,1.79,47.06,0.11,0.0,0.53,4.84,43.48,11.14,31.13,0.63,0.84,0.53,15.67,1.47,0.74,25.97,71.66,8.41,53.75,4.63,90.91,8.1,77.92,20.5,80.0,3.57,38.24,18.87,19.09,0.07,0.42,0.0,0.0,0.42,25.0,0.32,4.63,52.27,2.0,63.16,0.42,75.0,0.53,0.63,4.63,75.0,0,,0,,0,0,0,0,,,0.11,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Wingers,0,0
R. De Vries,Sligo Rovers,Sligo Rovers,"LAMF, CF, AMF",30,225000,2021-12-31,16,854,2,0.82,0,0.49,23.61,33.48,South Africa,"South Africa, New Zealand",,186,81,no,6.01,4.64,50.0,6.53,29.03,0.42,0.63,0.11,3.27,4.84,1.58,1,0.11,0,0.0,2.53,0.21,2,0.21,0.09,0,0.0,11,1.16,45.45,18.182,0.0,0.63,0.0,0.42,0.0,0.21,0.0,0.21,2.32,63.64,8.64,29.27,1.9,1.37,0.74,16.55,2.21,0.32,28.67,74.63,7.8,64.86,7.48,91.55,6.22,67.8,26.87,78.43,1.16,27.27,13.46,12.46,0.05,0.95,0.0,0.0,1.05,50.0,0.32,2.42,73.91,1.37,38.46,1.05,40.0,0.84,0.0,4.43,69.05,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.21,0,0.0,Irish Premier Division,Wingers,0,0
S. Murray,Dundalk,Dundalk,"AMF, RCMF, RAMF",27,200000,2021-12-31,16,868,1,1.44,0,0.8,20.12,40.21,England,"England, Republic of Ireland",both,175,68,no,5.91,5.29,56.86,4.25,39.02,0.31,0.49,0.0,2.59,4.12,0.93,1,0.1,0,0.0,1.97,0.1,1,0.1,0.15,0,0.0,13,1.35,15.38,7.692,0.0,2.28,40.91,1.04,40.0,1.24,41.67,0.1,2.28,31.82,6.32,31.15,2.8,0.83,0.73,18.46,1.56,0.93,27.58,79.7,7.78,69.33,6.01,91.38,9.12,81.82,23.02,85.14,2.38,60.87,18.73,26.16,0.08,0.73,0.0,0.0,0.31,33.33,0.31,3.63,74.29,2.07,55.0,0.52,40.0,0.73,0.83,5.08,81.63,0,,0,,0,0,0,0,,,0.1,,,0.21,0.0,0.0,0.62,0,0.0,Irish Premier Division,Wingers,0,0
M. Duffy,Dundalk,Dundalk,"LW, LAMF",27,150000,2021-12-31,24,2167,3,5.15,8,7.89,22.05,42.56,Northern Ireland,Northern Ireland,right,178,68,no,5.27,4.19,60.4,3.41,37.8,0.29,0.43,0.0,2.45,3.65,0.37,2,0.08,0,0.0,6.56,0.12,3,0.12,0.21,0,0.0,61,2.53,40.98,4.918,0.33,4.4,39.62,3.7,41.57,0.66,31.25,0.71,6.35,55.56,11.71,39.72,4.36,3.24,1.58,22.76,3.24,0.62,32.64,78.5,6.69,68.94,9.22,95.95,10.96,73.86,26.83,85.91,1.79,53.49,18.04,33.54,0.33,2.45,0.0,0.04,0.42,60.0,0.66,2.33,73.21,3.57,55.81,0.42,60.0,1.0,1.66,5.4,76.92,0,,0,,0,0,0,0,,,0.0,,,1.79,0.29,28.57,4.53,0,0.0,Irish Premier Division,Wingers,0,0
S. Kavanagh,Shamrock Rovers,Shamrock Rovers,LWB,27,150000,2021-12-31,9,689,0,0.7,0,0.0,10.97,48.81,Republic of Ireland,Republic of Ireland,left,175,65,no,5.75,3.92,56.67,1.57,41.67,0.0,0.0,0.13,3.53,6.23,0.91,0,0.0,0,0.0,1.83,0.0,0,0.0,0.09,0,0.0,6,0.78,16.67,0.0,0.0,4.96,13.16,4.83,13.51,0.0,0.0,0.78,1.18,66.67,2.35,55.56,0.65,0.52,0.39,35.79,2.48,1.18,42.32,69.44,12.02,55.43,8.88,94.12,14.37,64.55,32.13,83.74,5.36,34.15,21.79,29.87,0.0,0.0,0.0,0.0,0.78,33.33,0.0,5.88,46.67,5.49,21.43,1.31,30.0,0.26,0.78,9.27,77.46,0,,0,,0,0,0,0,,,0.52,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Wingers,0,0
B. King,St. Patrick's Ath.,St. Patrick's Ath.,"AMF, LW, RW",27,125000,2021-12-31,27,1899,4,2.87,0,1.54,23.18,40.9,Scotland,Scotland,left,178,68,no,5.88,6.02,58.27,2.7,19.3,0.19,0.3,0.05,2.18,3.43,1.04,3,0.14,0,0.0,3.89,0.19,4,0.19,0.14,1,0.05,28,1.33,42.86,14.286,0.0,2.65,19.64,1.42,13.33,1.23,26.92,0.57,4.5,58.95,11.42,40.25,2.65,1.94,1.61,20.0,1.47,1.33,29.86,79.37,4.98,72.38,9.95,90.95,8.82,73.12,26.45,86.2,0.85,44.44,15.63,15.94,0.07,0.81,0.09,0.0,0.38,37.5,0.24,1.56,72.73,1.9,47.5,0.24,40.0,0.76,0.62,2.51,66.04,0,,0,,0,0,0,0,,,0.09,,,0.05,0.0,0.0,0.52,0,0.0,Irish Premier Division,Wingers,0,0
R. Parkes,Sligo Rovers,Sligo Rovers,"CF, AMF, LAMF",30,125000,2021-12-31,20,1437,4,3.72,2,0.79,27.43,36.3,Jamaica,Jamaica,right,191,88,no,4.63,3.82,54.1,6.45,33.98,0.0,0.0,0.0,2.57,3.74,1.5,2,0.13,1,0.06,2.51,0.25,4,0.25,0.23,1,0.06,24,1.5,50.0,16.667,0.13,0.88,21.43,0.5,37.5,0.38,0.0,0.13,2.69,48.84,12.28,34.18,2.38,0.81,0.56,15.91,2.13,1.82,24.55,73.98,6.14,53.06,5.82,89.25,6.7,80.37,22.73,76.31,1.0,68.75,15.38,14.73,0.05,0.88,0.0,0.06,0.94,26.67,0.19,3.01,43.75,1.13,27.78,0.69,18.18,0.75,0.13,2.25,77.78,0,,0,,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,Irish Premier Division,Wingers,0,0
P. McEleney,Dundalk,Dundalk,"AMF, LCMF, RW",28,100000,2021-12-31,20,1483,2,1.72,1,2.78,23.55,47.94,Northern Ireland,"Northern Ireland, Republic of Ireland",right,176,71,no,7.95,5.89,74.23,1.76,41.38,0.18,0.26,0.06,3.4,4.79,0.61,2,0.12,0,0.0,5.16,0.12,2,0.12,0.1,0,0.0,20,1.21,45.0,10.0,0.06,3.46,43.86,2.25,43.24,1.15,47.37,0.91,4.98,47.56,11.83,36.41,1.4,1.4,1.46,32.23,0.61,0.73,52.13,76.6,18.08,64.77,7.59,92.0,19.36,82.13,39.69,83.49,9.22,58.55,21.82,38.61,0.17,1.7,0.12,0.0,2.31,31.58,1.09,10.26,62.72,7.16,49.15,3.52,29.31,2.25,1.64,11.83,82.56,0,,0,,0,0,0,0,,,0.06,,,0.42,0.12,100.0,0.61,0,0.0,Irish Premier Division,Wingers,0,0
